timeInSeconds,numberOfActiveIngestionThreads,numberOfRowsIngested,recordsIngestedPerSec,avgRecordsIngestedPerSec,MBIngested,MBIngestedPerSec,avgMBIngestedPerSec,numberOfRowsConsumed,numberOfActiveQueryThreads,recordsConsumedPerSec,avgRecordsConsumedPerSec,MBConsumed,MBConsumedPerSec,avgMBConsumedPerSec,queryAndConsumptionTimeInMs,avgQueryAndConsumptionTimeInMs
184,2,1.4786E7,88000.0,80785.28467665071,3840.5951833724976,22.862255096435547,20.983584452501322,297251.0,2,1639.0,1625.2417794970986,72.73298358917236,0.4010467529296875,0.39767299298768893,0.6101281269066504,0.6152930675394228
185,2,1.4863E7,79000.0,80775.55867900065,3860.5997743606567,20.515419006347656,20.98103394832197,298901.0,2,1623.0,1625.2295282647663,73.13677215576172,0.39711761474609375,0.3976699578685441,0.6161429451632778,0.6152977057140263
186,2,1.4935E7,75000.0,80744.26467560334,3879.3208351135254,19.507676124572754,20.973050778674764,300526.0,2,1656.0,1625.3967736324896,73.5343599319458,0.405181884765625,0.39771078710857083,0.6038647342995169,0.6152343945934919
187,2,1.5004E7,70000.0,80686.36221558758,3897.2452697753906,18.189080238342285,20.958047542272492,302164.0,2,1628.0,1625.4108463434675,73.93515491485596,0.3983888626098633,0.3977144526985748,0.6142506142506142,0.6152290679304897
188,2,1.5046E7,41000.0,80473.63286484632,3908.1554641723633,10.64894962310791,20.902788063080152,303757.0,2,1634.0,1625.4570285615966,74.3249454498291,0.399810791015625,0.3977257243042885,0.6119951040391677,0.6152115881432574
189,2,1.5114E7,69000.0,80412.45907932479,3925.8106088638306,17.922155380249023,20.88689627129931,305335.0,2,1590.0,1625.2674025585077,74.71099853515625,0.38907814025878906,0.39767947658231495,0.6289308176100629,0.6152833671713299
190,2,1.5158E7,46000.0,80229.95576957753,3937.2467136383057,11.944160461425781,20.839469294931966,306910.0,2,1572.0,1624.9840411949951,75.09646797180176,0.3846416473388672,0.3976101205241214,0.6361323155216285,0.6153906590150947
191,2,1.5244E7,74000.0,80197.09007269543,3959.5851039886475,19.222673416137695,20.830940001107415,308477.0,2,1531.0,1624.4867290352622,75.4798812866211,0.3745718002319336,0.39748821432945847,0.6531678641410843,0.6155790516022697
192,2,1.5328E7,88000.0,80238.03776278089,3981.396203994751,22.856164932250977,20.841567867327377,310112.0,2,1619.0,1624.457849082028,75.8798656463623,0.3961200714111328,0.39748101297082655,0.6176652254478073,0.615589995496094
193,2,1.5419E7,88000.0,80278.55793023523,4005.049454689026,22.861982345581055,20.852115140102484,311741.0,2,1635.0,1624.5130482134628,76.2785177230835,0.4001016616821289,0.3974947347941798,0.6116207951070336,0.6155690784384509
194,2,1.551E7,91000.0,80334.23695717654,4028.687262535095,23.656932830810547,20.866681232867823,313381.0,2,1631.0,1624.5468372364362,76.6797924041748,0.3990821838378906,0.39750300344700357,0.6131207847946045,0.6155562751894116
195,2,1.5598E7,90000.0,80384.17425267879,4051.5267095565796,23.366233825683594,20.87959494654959,315016.0,2,1644.0,1624.6476391825229,77.07988929748535,0.4022512435913086,0.39752760776728036,0.6082725060827251,0.6155180827414195
196,2,1.569E7,89000.0,80428.45835175115,4075.424934387207,23.11808967590332,20.891100485922703,316651.0,2,1630.0,1624.675230946882,77.47994899749756,0.3988170623779297,0.3975342549887556,0.6134969325153374,0.615507629433845
197,2,1.5775E7,88000.0,80467.17597848209,4097.501100540161,22.830920219421387,20.901019894658212,318231.0,2,1634.0,1624.7230541993188,77.86651039123535,0.39986705780029297,0.39754621906176435,0.6119951040391677,0.6154895121450781
198,2,1.5856E7,80000.0,80464.799194131,4118.536292076111,20.794109344482422,20.90047598115596,319785.0,2,1578.0,1624.484651808311,78.24675178527832,0.38611793518066406,0.3974879067307521,0.6337135614702155,0.6155798387426069
199,2,1.5928E7,79000.0,80457.3846667814,4137.234718322754,20.51530361175537,20.89852631387141,321353.0,2,1547.0,1624.0912967550664,78.63040256500244,0.3784952163696289,0.3973914893041534,0.6464124111182935,0.6157289322330582
200,2,1.6007E7,74000.0,80424.86326413442,4157.76363658905,19.21521759033203,20.890048646270312,322977.0,2,1574.0,1623.8382899628252,79.02777194976807,0.38517284393310547,0.3973297739869002,0.6353240152477764,0.615824867649163
201,2,1.6082E7,77000.0,80407.70101925255,4177.239133834839,19.996171951293945,20.885569363580686,324573.0,2,1622.0,1623.8290515820368,79.41831588745117,0.39688587188720703,0.39732754314371843,0.6165228113440198,0.6158283712350983
202,2,1.6158E7,77000.0,80390.70991932509,4196.9866399765015,20.0135440826416,20.881221368083427,326213.0,2,1601.0,1623.7148971917752,79.8196325302124,0.3916969299316406,0.39729938782523255,0.6246096189881324,0.6158716667128608
203,2,1.6234E7,76000.0,80368.92606594627,4216.734143257141,19.741464614868164,20.875566634690482,327813.0,2,1644.0,1623.8158261354138,80.21106433868408,0.40223121643066406,0.39732392623926266,0.6082725060827251,0.6158333869549364
204,2,1.6311E7,75000.0,80342.42044253992,4236.738595962524,19.490517616271973,20.868728844929432,329404.0,2,1601.0,1623.7028675538656,80.60038948059082,0.3918123245239258,0.3972966389208843,0.6246096189881324,0.6158762295631811
205,2,1.6391E7,78000.0,80330.91305672094,4257.516040802002,20.26485538482666,20.86576225329411,331034.0,2,1587.0,1623.5220509990934,80.9992036819458,0.3883218765258789,0.39725242478383405,0.630119722747322,0.6159448215591612
206,2,1.6471E7,84000.0,80348.84971499526,4278.294787406921,21.812539100646973,20.87039065622801,332691.0,2,1633.0,1623.5685151776609,81.40466690063477,0.3995542526245117,0.39726370913868875,0.612369871402327,0.615927194110791
207,2,1.6545E7,72000.0,80308.23417235039,4297.513415336609,18.70032024383545,20.85983368246687,334323.0,2,1655.0,1623.7218514615774,81.80396747589111,0.40490245819091797,0.39730097423768296,0.6042296072507553,0.6158690289841574
208,2,1.6625E7,81000.0,80311.58318728881,4318.290965080261,21.039810180664062,20.860704994631963,335930.0,2,1631.0,1623.7571850240795,82.19718837738037,0.39914989471435547,0.3973099502769708,0.6131207847946045,0.61585562744418
209,2,1.6694E7,72000.0,80271.53855789707,4336.222615242004,18.701974868774414,20.850304383112015,337528.0,2,1601.0,1623.6472384338886,82.5882511138916,0.39173316955566406,0.3972830072247479,0.6246096189881324,0.6158973306077026
210,2,1.6722E7,61000.0,80179.13482100902,4343.493657112122,15.846179962158203,20.82631046093711,339208.0,2,1599.0,1623.5287329794598,82.99927139282227,0.39122772216796875,0.3972538930378067,0.6253908692933083,0.6159422865062725
211,2,1.6755E7,2000.0,79806.06800981113,4352.068067550659,0.5188865661621094,20.72940447837011,340892.0,2,1694.0,1623.8659418902882,83.41134452819824,0.41449928283691406,0.3973364131819283,0.5903187721369539,0.6158143811033645
212,2,1.6824E7,67000.0,79745.24834012482,4369.9915599823,17.40234661102295,20.713603331572806,342533.0,2,1680.0,1624.133267296556,83.81290245056152,0.4110832214355469,0.3974018791614964,0.5952380952380952,0.6157130206836695
213,2,1.6864E7,39000.0,79552.65222775788,4380.363210678101,10.130729675292969,20.663579821914556,344174.0,2,1634.0,1624.1800326091077,84.21440696716309,0.3997640609741211,0.39741307518495134,0.6119951040391677,0.6156952923461229
